Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity
AX10004,ENX2029,A142,EMP1019,C1078,43519,4
AX10014,ENX2079,A152,EMP1041,C1073,43520,1
AX10027,ENX2062,A126,EMP1001,C1256,43537,1
AX10032,ENX2083,A156,EMP1025,C1342,43482,1
AX10042,ENX2100,A147,EMP1019,C1267,43468,1
AX10061,ENX2041,A101,EMP1041,C1168,43514,1
AX10070,ENX2046,A159,EMP1040,C1147,43468,1
AX10071,ENX2091,A121,EMP1016,C1755,43471,3
AX10074,ENX2038,A121,EMP1042,C1732,43521,1
AX10086,ENX2054,A130,EMP1023,C1526,43479,1
AX10096,ENX2005,A133,EMP1037,C1791,43504,1
AX10098,ENX2098,A119,EMP1022,C1467,43532,1
AX10133,ENX2045,A104,EMP1038,C1350,43489,1
AX10145,ENX2033,A111,EMP1007,C1666,43499,2
AX10155,ENX2027,A111,EMP1024,C1176,43470,1
AX10162,ENX2030,A158,EMP1015,C1120,43505,2
AX10173,ENX2093,A115,EMP1040,C1566,43483,3
AX10180,ENX2011,A148,EMP1006,C1350,43491,4
AX10199,ENX2100,A115,EMP1001,C1350,43537,2
AX10208,ENX2054,A132,EMP1029,C1194,43538,1
AX10209,ENX2043,A120,EMP1040,C1571,43532,3
AX10218,ENX2029,A123,EMP1018,C1612,43476,3
AX10230,ENX2078,A115,EMP1005,C1455,43469,1
AX10232,ENX2081,A143,EMP1035,C1572,43519,1
AX10243,ENX2004,A108,EMP1020,C1529,43505,4
AX10259,ENX2040,A139,EMP1029,C1528,43496,1
AX10268,ENX2043,A125,EMP1025,C1124,43539,2
AX10295,ENX2076,A111,EMP1003,C1552,43530,3
AX10303,ENX2052,A135,EMP1034,C1073,43527,3
AX10307,ENX2098,A155,EMP1005,C1203,43538,2
AX10308,ENX2081,A145,EMP1029,C1070,43483,3
AX10313,ENX2012,A170,EMP1002,C1780,43516,3
AX10323,ENX2010,A134,EMP1038,C1407,43510,3
AX10324,ENX2027,A108,EMP1002,C1582,43496,1
AX10331,ENX2032,A141,EMP1043,C1002,43476,1
AX10335,ENX2023,A134,EMP1033,C1370,43531,1
AX10337,ENX2061,A155,EMP1031,C1347,43515,4
AX10350,ENX2000,A129,EMP1008,C1648,43538,1
AX10355,ENX2040,A151,EMP1010,C1776,43519,2
AX10360,ENX2041,A126,EMP1003,C1212,43527,1
AX10381,ENX2024,A138,EMP1018,C1791,43487,3
AX10405,ENX2062,A159,EMP1036,C1460,43502,3
AX10411,ENX2100,A164,EMP1010,C1252,43523,1
AX10439,ENX2056,A157,EMP1001,C1036,43524,1
AX10452,ENX2094,A168,EMP1039,C1488,43486,1
AX10457,ENX2099,A164,EMP1036,C1761,43480,2
AX10472,ENX2031,A129,EMP1020,C1221,43499,1
AX10476,ENX2041,A132,EMP1022,C1453,43504,1
AX10478,ENX2066,A105,EMP1003,C1617,43497,2
AX10495,ENX2099,A146,EMP1043,C1000,43499,3
AX10512,ENX2099,A129,EMP1037,C1482,43519,3
AX10513,ENX2059,A138,EMP1029,C1277,43513,1
AX10521,ENX2042,A108,EMP1011,C1442,43492,1
AX10546,ENX2003,A137,EMP1033,C1029,43500,2
AX10569,ENX2074,A161,EMP1021,C1240,43510,4
AX10649,ENX2030,A120,EMP1023,C1595,43468,1
AX10654,ENX2003,A127,EMP1034,C1577,43513,1
AX10661,ENX2083,A142,EMP1043,C1267,43517,2
AX10670,ENX2072,A140,EMP1006,C1217,43481,1
AX10685,ENX2038,A145,EMP1026,C1583,43481,3
AX10703,ENX2074,A104,EMP1032,C1273,43505,1
AX10710,ENX2041,A124,EMP1010,C1639,43472,2
AX10715,ENX2054,A154,EMP1032,C1542,43472,1
AX10722,ENX2027,A170,EMP1025,C1035,43495,3
AX10726,ENX2036,A102,EMP1019,C1374,43510,2
AX10733,ENX2024,A148,EMP1013,C1327,43485,4
AX10771,ENX2022,A157,EMP1026,C1007,43537,1
AX10783,ENX2061,A168,EMP1017,C1521,43474,1
AX10808,ENX2027,A146,EMP1011,C1442,43520,1
AX10820,ENX2013,A135,EMP1034,C1406,43529,1
AX10826,ENX2065,A147,EMP1034,C1168,43466,1
AX10880,ENX2068,A123,EMP1032,C1596,43501,1
AX10920,ENX2077,A132,EMP1000,C1586,43479,1
AX10925,ENX2055,A151,EMP1012,C1185,43479,1
AX10935,ENX2097,A134,EMP1022,C1304,43521,1
AX10971,ENX2081,A131,EMP1033,C1026,43501,1
AX11010,ENX2007,A162,EMP1016,C1567,43491,2
AX11039,ENX2031,A145,EMP1031,C1483,43517,2
AX11071,ENX2061,A172,EMP1017,C1714,43525,1
AX11086,ENX2055,A142,EMP1040,C1505,43508,4
AX11109,ENX2037,A154,EMP1012,C1085,43498,1
AX11128,ENX2069,A134,EMP1010,C1687,43479,1
AX11134,ENX2012,A120,EMP1019,C1779,43529,3
AX11172,ENX2007,A124,EMP1042,C1308,43526,1
AX11175,ENX2033,A129,EMP1038,C1647,43470,1
AX11206,ENX2007,A142,EMP1002,C1726,43471,4
AX11210,ENX2001,A109,EMP1026,C1237,43484,1
AX11213,ENX2012,A102,EMP1043,C1477,43488,2
AX11222,ENX2092,A153,EMP1005,C1544,43518,3
AX11246,ENX2060,A109,EMP1008,C1138,43535,1
AX11254,ENX2020,A160,EMP1037,C1796,43467,1
AX11258,ENX2091,A149,EMP1041,C1284,43523,1
AX11261,ENX2077,A131,EMP1036,C1274,43528,2
AX11282,ENX2005,A102,EMP1018,C1754,43510,3
AX11285,ENX2088,A127,EMP1033,C1059,43506,3
AX11289,ENX2007,A111,EMP1019,C1355,43481,1
AX11293,ENX2043,A104,EMP1031,C1008,43474,1
AX11327,ENX2059,A112,EMP1039,C1353,43466,1
AX11329,ENX2052,A123,EMP1002,C1311,43519,3
AX11330,ENX2047,A134,EMP1025,C1710,43504,1
AX11368,ENX2071,A103,EMP1011,C1768,43517,1
AX11370,ENX2031,A173,EMP1022,C1781,43510,3
AX11399,ENX2020,A144,EMP1002,C1684,43477,1
AX11414,ENX2066,A132,EMP1021,C1269,43499,1
AX11421,ENX2000,A166,EMP1012,C1410,43505,3
AX11425,ENX2031,A102,EMP1011,C1152,43497,1
AX11445,ENX2019,A125,EMP1022,C1048,43477,1
AX11446,ENX2093,A102,EMP1008,C1743,43529,1
AX11508,ENX2020,A149,EMP1010,C1237,43496,1
AX11511,ENX2028,A157,EMP1040,C1131,43511,1
AX11516,ENX2088,A150,EMP1023,C1115,43491,3
AX11563,ENX2062,A106,EMP1036,C1457,43507,3
AX11564,ENX2037,A100,EMP1025,C1080,43488,2
AX11575,ENX2093,A128,EMP1020,C1359,43517,1
AX11587,ENX2021,A173,EMP1010,C1138,43520,2
AX11610,ENX2089,A108,EMP1040,C1189,43496,4
AX11617,ENX2085,A124,EMP1013,C1331,43508,4
AX11627,ENX2035,A131,EMP1022,C1577,43469,1
AX11633,ENX2044,A172,EMP1036,C1659,43476,2
AX11676,ENX2078,A130,EMP1015,C1458,43482,3
AX11689,ENX2014,A152,EMP1034,C1542,43519,1
AX11713,ENX2051,A120,EMP1003,C1619,43472,2
AX11715,ENX2005,A149,EMP1039,C1251,43504,1
AX11733,ENX2033,A167,EMP1014,C1137,43475,1
AX11754,ENX2049,A110,EMP1008,C1368,43518,1
AX11779,ENX2022,A140,EMP1016,C1800,43468,1
AX11796,ENX2058,A138,EMP1001,C1440,43490,3
AX11797,ENX2092,A135,EMP1036,C1723,43533,1
AX11798,ENX2049,A143,EMP1004,C1257,43478,2
AX11807,ENX2023,A119,EMP1024,C1244,43474,3
AX11833,ENX2092,A153,EMP1043,C1744,43507,1
AX11870,ENX2038,A156,EMP1020,C1374,43514,1
AX11873,ENX2048,A123,EMP1018,C1406,43503,1
AX11894,ENX2064,A131,EMP1036,C1303,43528,4
AX11947,ENX2000,A111,EMP1001,C1065,43510,1
AX11952,ENX2047,A169,EMP1042,C1648,43466,3
AX11975,ENX2031,A112,EMP1029,C1752,43531,2
AX11978,ENX2000,A144,EMP1032,C1073,43516,1
AX11987,ENX2086,A161,EMP1010,C1092,43477,1
AX11995,ENX2076,A159,EMP1036,C1286,43517,1
AX12026,ENX2025,A133,EMP1027,C1637,43474,1
AX12039,ENX2081,A172,EMP1004,C1011,43520,1
AX12042,ENX2077,A162,EMP1032,C1367,43523,3
AX12046,ENX2033,A115,EMP1026,C1120,43470,1
AX12060,ENX2076,A135,EMP1037,C1300,43511,1
AX12066,ENX2078,A171,EMP1010,C1183,43474,1
AX12073,ENX2090,A128,EMP1013,C1475,43534,1
AX12111,ENX2029,A122,EMP1027,C1063,43482,1
AX12113,ENX2008,A103,EMP1034,C1125,43470,1
AX12123,ENX2050,A104,EMP1003,C1070,43522,4
AX12148,ENX2095,A116,EMP1044,C1359,43471,2
AX12155,ENX2064,A135,EMP1019,C1334,43483,4
AX12168,ENX2068,A140,EMP1007,C1669,43477,1
AX12169,ENX2080,A101,EMP1022,C1784,43507,1
AX12182,ENX2008,A163,EMP1010,C1160,43478,1
AX12207,ENX2003,A125,EMP1017,C1340,43493,3
AX12215,ENX2064,A132,EMP1040,C1717,43516,2
AX12223,ENX2036,A172,EMP1025,C1724,43519,1
AX12235,ENX2057,A106,EMP1015,C1020,43481,1
AX12253,ENX2061,A115,EMP1044,C1286,43501,3
AX12261,ENX2050,A157,EMP1043,C1672,43501,1
AX12288,ENX2044,A166,EMP1013,C1368,43509,2
AX12296,ENX2024,A172,EMP1034,C1496,43483,3
AX12305,ENX2005,A100,EMP1005,C1395,43511,1
AX12356,ENX2100,A116,EMP1043,C1513,43529,2
AX12359,ENX2010,A146,EMP1013,C1263,43509,4
AX12362,ENX2062,A108,EMP1002,C1640,43529,1
